MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,2982,5244,0.46972,0.52589,1,1,0.5192,0.47313
3,7402,10359,0.47539,0.51588,1,1,0.48066,0.48997
5,4127,6556,0.45491,0.52762,1,1,0.53644,0.45141
7,2036,5652,0.46814,0.52876,1,0.75,0.55853,0.50928
9,11337,3737,0.44565,0.55551,1,0.8,0.57348,0.41514
11,8363,20017,0.44619,0.5546,1,0.8333,0.68564,0.4008
13,16537,20017,0.4501,0.55263,1,0.8571,0.54278,0.45599
15,9174,5618,0.45462,0.54948,1,0.875,0.54709,0.47209
17,20017,13537,0.4527,0.54693,1,0.8889,0.52543,0.47696
19,12885,20017,0.45358,0.54805,1,0.9,0.48984,0.64318
21,20113,9142,0.45206,0.54916,1,0.9091,0.36382,0.64025
23,13181,13066,0.4577,0.5485,1,0.9167,0.33194,0.66998
25,20017,20121,0.44678,0.5536,1,0.9231,0.33365,0.66644
27,20213,2898,0.44646,0.53227,1,0.9286,0.33466,0.66295
29,8804,20017,0.46328,0.53811,1,0.9333,0.3383,0.72067
31,11972,15311,0.47791,0.52585,1,0.9375,0.27003,0.7303
33,20017,20119,0.47628,0.52355,1,0.9412,0.27317,0.72239
35,20205,3486,0.47663,0.49855,1,0.9444,0.27684,0.71659
37,16440,14428,0.5249,0.51879,0.9474,0.9474,0.29935,0.70487
39,4156,20017,0.43298,0.56238,0.95,0.95,0.29391,0.70606
41,20134,3823,0.43727,0.58487,0.9524,0.9524,0.29306,0.70907
43,11233,20017,0.42844,0.57007,0.9545,0.9545,0.29185,0.70894
45,12078,20017,0.44047,0.58364,0.913,0.913,0.29193,0.71908
47,11254,5874,0.37785,0.62677,0.9167,0.9167,0.30282,0.71114
49,4401,2762,0.38556,0.61618,0.88,0.92,0.17118,0.67952
51,2898,1799,0.39471,0.58596,0.8846,0.9231,0.32825,0.70186
53,20017,20102,0.41242,0.58788,0.8889,0.9259,0.29891,0.69194
55,5997,2048,0.40623,0.60179,0.8929,0.9286,0.32578,0.67565
57,20017,14082,0.41485,0.58176,0.8966,0.931,0.31514,0.70553
59,20017,20120,0.42138,0.57896,0.9,0.9333,0.296,0.71185
61,6309,1879,0.42738,0.56216,0.9032,0.9355,0.26462,0.75275
63,3341,7900,0.4539,0.57517,0.9062,0.9375,0.28636,0.75355
65,12873,5413,0.41424,0.61286,0.9091,0.9394,0.20582,0.82779
67,8256,4766,0.38771,0.61406,0.9118,0.9412,0.13968,0.85482
69,6483,2939,0.43715,0.63069,0.8857,0.9429,0.16853,0.91548
71,5293,20017,0.38129,0.61759,0.8889,0.9444,0.08053,0.92218
73,14760,16790,0.3939,0.6106,0.8919,0.9459,0.07271,0.93155
75,12769,20017,0.39755,0.60669,0.8947,0.9474,0.0445,0.9545
77,20109,4900,0.39356,0.61974,0.8974,0.9231,0.04916,0.95098
79,7096,9672,0.36954,0.64172,0.9,0.925,0.06565,0.93186
81,7969,2406,0.36666,0.61812,0.9024,0.9268,0.07999,0.91198
83,20017,5949,0.37369,0.64091,0.9048,0.9286,0.09781,0.91028
85,8442,5624,0.36831,0.62947,0.8837,0.9302,0.20223,0.91326
87,13741,20017,0.38295,0.67578,0.8636,0.9318,0.07245,0.90528
89,20115,12027,0.3245,0.68996,0.8667,0.9333,0.05617,0.9491
91,7746,20017,0.28751,0.7018,0.8696,0.9348,0.05201,0.94819
93,20107,17383,0.29848,0.70757,0.8723,0.9149,0.05231,0.95315
95,14812,9062,0.36686,0.59269,0.8542,0.8958,0.07202,0.94071
97,3643,4274,0.38807,0.60589,0.8571,0.8776,0.05696,0.94766
99,2730,14532,0.37391,0.62296,0.86,0.88,0.04895,0.95164
101,4237,14868,0.3729,0.63897,0.8627,0.8824,0.06419,0.95599
103,20017,4692,0.36205,0.65911,0.8654,0.8846,0.04711,0.95327
105,2421,4278,0.34364,0.66745,0.8679,0.8679,0.05724,0.96161
107,13968,10382,0.35311,0.66675,0.8519,0.8704,0.09224,0.95341
109,1632,2928,0.34131,0.65454,0.8545,0.8727,0.05761,0.9459
111,4003,3745,0.33787,0.66103,0.8393,0.875,0.0522,0.96398
