MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,3652,2165,0.47849,0.51866,0,1,0.51887,0.50956
3,5561,10917,0.46116,0.53309,0.5,1,0.48843,0.55048
5,4809,8861,0.49034,0.50487,0.6667,1,0.46087,0.57826
7,7270,3812,0.48743,0.53772,0.5,1,0.49815,0.5391
9,2553,1904,0.46114,0.51461,0.6,1,0.54349,0.50895
11,10234,5209,0.48393,0.56452,0.6667,1,0.507,0.57647
13,20017,20098,0.44236,0.55722,0.7143,1,0.39315,0.56332
15,20195,20290,0.44281,0.55735,0.75,1,0.32577,0.74752
17,9659,20017,0.447,0.55617,0.7778,1,0.25647,0.74613
19,5657,9744,0.44398,0.57048,0.8,1,0.19907,0.7776
21,9144,12947,0.4563,0.56166,0.8182,1,0.19139,0.77158
23,12700,6147,0.45891,0.53332,0.8333,0.9167,0.24969,0.69301
25,4333,3610,0.48284,0.5185,0.8462,0.8462,0.15464,0.71598
27,13934,20017,0.48838,0.51719,0.8571,0.8571,0.35862,0.64948
29,20096,20171,0.48273,0.51746,0.8667,0.8,0.35325,0.6562
31,20017,8791,0.46391,0.54105,0.875,0.8125,0.34228,0.66758
33,20017,6630,0.46323,0.54196,0.8824,0.7647,0.33018,0.66999
35,20017,12164,0.44946,0.57396,0.8889,0.7778,0.32936,0.66543
37,6807,15854,0.43106,0.56786,0.8421,0.7895,0.27659,0.76383
39,7445,11217,0.44623,0.55131,0.85,0.8,0.24457,0.75558
41,5281,10548,0.44261,0.56302,0.8571,0.8095,0.26609,0.91217
43,6508,6002,0.43432,0.59473,0.8182,0.7727,0.11982,0.95338
45,6998,5260,0.42764,0.56952,0.8261,0.7826,0.04258,0.95137
47,6682,6390,0.44877,0.54471,0.8333,0.7917,0.04248,0.94059
49,2878,8666,0.42334,0.58441,0.84,0.8,0.1376,0.94159
51,1408,8582,0.3814,0.63661,0.8462,0.8077,0.04334,0.96504
53,3382,9412,0.36558,0.59583,0.8519,0.8148,0.03291,0.96752
55,20017,20102,0.41054,0.5897,0.8571,0.8214,0.02931,0.94831
57,6488,20017,0.44934,0.55562,0.8621,0.8276,0.05448,0.98158
59,3347,20017,0.41642,0.57403,0.8667,0.8333,0.02258,0.97876
61,4222,4800,0.41611,0.5845,0.871,0.8065,0.02936,0.99208
63,1453,8005,0.39176,0.61659,0.875,0.8125,0.00933,0.99257
65,8615,9397,0.3699,0.62167,0.8788,0.8182,0.00853,0.99404
67,8457,20017,0.3862,0.64096,0.8529,0.8235,0.00636,0.99481
69,8194,3964,0.35087,0.64334,0.8571,0.8286,0.00505,0.9953
