MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,73770,18619,0.47186,0.52644,1,1,0.51805,0.47051
3,7154,7688,0.46768,0.52342,1,1,0.48099,0.5264
5,11030,9497,0.47709,0.52886,0.6667,0.6667,0.4708,0.53066
7,10027,10180,0.47021,0.49678,0.5,0.75,0.56935,0.4897
9,7876,5931,0.51636,0.48398,0.6,0.6,0.57531,0.49251
11,20017,20200,0.51109,0.48887,0.6667,0.6667,0.56914,0.46233
13,15036,20017,0.50998,0.4928,0.7143,0.7143,0.53941,0.45439
15,14182,13160,0.51105,0.50009,0.75,0.75,0.54593,0.44763
17,1901,3016,0.50086,0.49458,0.7778,0.7778,0.57384,0.31171
19,7133,20017,0.50713,0.49064,0.8,0.8,0.66213,0.2076
21,10914,5171,0.50562,0.46968,0.8182,0.8182,0.76386,0.24508
23,15018,20017,0.52877,0.4725,0.8333,0.8333,0.81765,0.14566
25,6301,4692,0.49724,0.47116,0.8462,0.8462,0.89097,0.1184
27,15746,8296,0.53696,0.46245,0.8571,0.8571,0.88331,0.12375
29,6842,7238,0.53745,0.48043,0.8,0.8667,0.84321,0.11659
31,20017,8774,0.51906,0.49707,0.8125,0.875,0.8038,0.10711
33,20017,18312,0.5016,0.50687,0.8235,0.8824,0.86315,0.09292
35,7906,20017,0.50121,0.49733,0.8333,0.8889,0.88297,0.13877
37,20216,20293,0.5029,0.4972,0.8421,0.8947,0.85622,0.14741
39,5712,14914,0.50214,0.50638,0.85,0.9,0.84717,0.16677
41,4438,8871,0.5119,0.48789,0.8571,0.9048,0.87882,0.13339
43,20017,9095,0.51123,0.48742,0.8636,0.9091,0.85227,0.0979
45,1110,5271,0.4819,0.51935,0.8696,0.8696,0.87339,0.14143
47,4407,3598,0.48846,0.4932,0.875,0.875,0.84017,0.17112
49,5933,20017,0.49812,0.50657,0.88,0.88,0.84091,0.1619
51,13564,6533,0.49886,0.48593,0.8462,0.8846,0.82594,0.16916
53,20017,12771,0.51653,0.47468,0.8519,0.8889,0.85261,0.13675
55,20017,20185,0.52335,0.47703,0.8571,0.8929,0.8716,0.12728
57,20251,2298,0.52289,0.41896,0.8621,0.8966,0.87532,0.03775
59,10686,2179,0.58146,0.4159,0.8667,0.9,0.92397,0.10713
61,4093,4652,0.5866,0.37668,0.871,0.9032,0.96223,0.03115
63,11224,4449,0.64235,0.4478,0.8438,0.9062,0.97343,0.04474
65,1302,20017,0.49365,0.51812,0.8485,0.9091,0.94203,0.0818
67,7424,9778,0.48279,0.50932,0.8235,0.8824,0.91821,0.07783
69,20017,16558,0.4909,0.51529,0.8286,0.8857,0.94796,0.0469
71,20017,20099,0.48607,0.51414,0.8333,0.8889,0.95638,0.04295
73,13024,3776,0.49028,0.47874,0.8378,0.8919,0.95719,0.03523
75,20017,8028,0.50784,0.51504,0.8158,0.8947,0.9613,0.04383
77,4168,3264,0.51591,0.57642,0.7949,0.8718,0.95303,0.08244
79,6762,5661,0.52138,0.53819,0.775,0.875,0.98015,0.01692
81,16355,5314,0.46727,0.55337,0.7805,0.878,0.97357,0.01765
83,14829,2931,0.45646,0.49108,0.7619,0.881,0.97582,0.02701
85,20017,20097,0.50348,0.49662,0.7674,0.8837,0.96786,0.03715
