MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,14601,5076,0.48263,0.51357,1,1,0.51696,0.47212
3,7633,10580,0.47656,0.52152,1,1,0.48347,0.48859
5,9010,6943,0.494,0.53862,0.6667,1,0.50331,0.50875
7,8476,6712,0.46214,0.54084,0.75,1,0.48317,0.51881
9,4737,9205,0.45888,0.54168,0.8,1,0.59082,0.40729
11,3245,11200,0.46068,0.55302,0.8333,1,0.56875,0.33998
13,20017,20117,0.44865,0.55147,0.8571,1,0.60802,0.40337
15,20215,20303,0.4482,0.5521,0.875,1,0.59845,0.39974
17,20396,20483,0.44798,0.55186,0.8889,1,0.59907,0.38708
19,20576,17748,0.44816,0.55711,0.9,1,0.62743,0.27465
21,11890,12136,0.44864,0.55136,0.9091,1,0.6688,0.30139
23,20017,9705,0.44941,0.54557,0.9167,1,0.65323,0.15345
25,7272,3501,0.4694,0.49606,0.9231,1,0.7476,0.28891
27,7690,13499,0.50658,0.54165,0.8571,1,0.81997,0.21489
29,9834,20017,0.43794,0.5627,0.8667,1,0.78072,0.23184
31,20103,4638,0.4372,0.55033,0.8125,0.9375,0.75854,0.22169
33,6218,4512,0.50361,0.47472,0.8235,0.9412,0.76107,0.30375
35,9694,12456,0.52982,0.47236,0.8333,0.9444,0.84171,0.22693
37,20017,20118,0.52542,0.47445,0.8421,0.9474,0.77603,0.2242
39,20214,20302,0.5257,0.47461,0.85,0.95,0.78325,0.20639
41,12440,20017,0.51599,0.48324,0.8571,0.9524,0.78592,0.24686
43,20122,5055,0.51688,0.49684,0.8636,0.9545,0.72196,0.07794
45,5439,20017,0.50895,0.49773,0.8696,0.9565,0.7953,0.22272
47,4669,4174,0.51685,0.47046,0.875,0.9583,0.82107,0.15082
49,6116,12074,0.52386,0.4757,0.88,0.96,0.84756,0.14681
51,12220,20017,0.53392,0.47148,0.8846,0.9615,0.8481,0.1558
53,5011,17099,0.51628,0.49021,0.8889,0.963,0.84666,0.10781
55,7300,20017,0.5155,0.51844,0.8571,0.9643,0.8911,0.16168
57,8429,20017,0.46254,0.50683,0.8276,0.9655,0.82463,0.21705
59,7869,5787,0.50628,0.52887,0.8,0.9333,0.77216,0.25172
61,9506,6305,0.48672,0.5751,0.7742,0.9355,0.82075,0.19409
63,7642,10484,0.42373,0.5429,0.75,0.9062,0.89661,0.10087
65,11343,9634,0.48097,0.53688,0.7576,0.9091,0.90269,0.0996
67,6577,6373,0.4507,0.52896,0.7647,0.9118,0.90244,0.10846
69,11212,12258,0.51006,0.49426,0.7714,0.9143,0.89512,0.11153
71,20017,10083,0.50716,0.51373,0.7778,0.9167,0.88662,0.11557
73,10445,5596,0.50535,0.4959,0.7838,0.9189,0.89,0.10928
75,8915,4954,0.50493,0.53015,0.7632,0.9211,0.89066,0.12637
