MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,258853,26823,0.47617,0.53453,0,1,0.51813,0.51086
3,5008,10892,0.4714,0.53226,0.5,1,0.48014,0.49198
5,5232,5945,0.46262,0.51834,0.6667,1,0.53509,0.45545
7,9275,2860,0.47684,0.5467,0.5,1,0.55886,0.51424
9,20017,20221,0.45201,0.54837,0.6,1,0.48587,0.51624
11,20339,1122,0.45147,0.48102,0.6667,1,0.48733,0.50868
13,2235,20017,0.47531,0.51566,0.7143,1,0.52176,0.55347
15,20098,17265,0.4843,0.51932,0.75,0.875,0.449,0.55201
17,3213,3938,0.48597,0.54811,0.6667,0.8889,0.46565,0.70807
19,9489,20017,0.46263,0.53317,0.7,0.9,0.28952,0.70693
21,20123,7100,0.4667,0.53876,0.7273,0.9091,0.29058,0.70202
23,11623,8443,0.4581,0.54323,0.75,0.9167,0.24457,0.73847
25,6222,6348,0.4484,0.57311,0.7692,0.8462,0.28268,0.70721
27,3963,2953,0.45106,0.54035,0.7143,0.8571,0.34759,0.7386
29,6240,4613,0.45373,0.54852,0.6667,0.8,0.2817,0.71551
31,10811,16561,0.47129,0.52764,0.6875,0.8125,0.27622,0.68432
33,3390,11682,0.47672,0.52344,0.7059,0.7647,0.3529,0.7321
35,6861,10526,0.48737,0.52279,0.7222,0.7222,0.23533,0.72986
37,13916,3223,0.4654,0.53894,0.6842,0.7368,0.26491,0.80946
39,9667,20017,0.48298,0.51871,0.7,0.75,0.16686,0.76694
41,14969,2929,0.49124,0.50879,0.7143,0.7619,0.22554,0.77907
43,20017,10332,0.48741,0.51649,0.7273,0.7727,0.23528,0.77874
45,12036,1365,0.48763,0.49637,0.7391,0.7826,0.07536,0.91842
47,4258,3959,0.52862,0.56048,0.7083,0.75,0.07279,0.92663
49,5786,6141,0.53729,0.44218,0.72,0.72,0.06202,0.93009
51,20017,2721,0.52316,0.44764,0.7308,0.7308,0.0777,0.91792
53,5653,2830,0.53556,0.4782,0.7407,0.7407,0.06006,0.9276
