MSE,fitness
0.1131585,0.051233362
0.11082551,0.052324127
0.119559914,0.053755987
0.10196577,0.05498754
0.12754941,0.05565821
0.11634189,0.055903208
0.12596205,0.057199076
0.12024262,0.05762606
0.12332497,0.05961144
0.12197274,0.060150128
MSE,fitness
0.1131585,0.051233362
0.11082551,0.052324127
0.119559914,0.053755987
0.10196577,0.05498754
0.12754941,0.05565821
0.11634189,0.055903208
0.12596205,0.057199076
0.12024262,0.05762606
0.12332497,0.05961144
0.12197274,0.060150128
MSE,fitness
0.1268558,0.086559534
0.13577569,0.11304747
0.14408764,0.11463108
MSE,fitness
0.1268558,0.086559534
0.13577569,0.11304747
0.14408764,0.11463108
MSE,fitness
0.1268558,0.086559534
0.13577569,0.11304747
0.14408764,0.11463108
MSE,fitness
0.12698637,0.08632391
0.13577569,0.11304747
0.14593549,0.11706567
MSE,fitness
0.12698637,0.08632391
0.13577569,0.11304747
0.14593549,0.11706567
MSE,fitness
0.12698637,0.08632391
0.13577569,0.11304747
0.14593549,0.11706567
