MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,3475,5793,0.52148,0.48941,1,1,0.51822,0.47283
3,6933,10456,0.51413,0.48635,1,1,0.49048,0.5121
5,6822,3834,0.51539,0.49951,1,1,0.48709,0.57443
7,20017,6848,0.5143,0.48988,1,1,0.42156,0.55875
9,20017,20251,0.50989,0.49012,1,1,0.43917,0.55996
11,20330,5479,0.50996,0.49489,0.8333,1,0.44485,0.63004
13,7385,13505,0.50036,0.51654,0.7143,0.8571,0.46848,0.54752
15,20017,5677,0.48061,0.52294,0.75,0.75,0.42993,0.51984
17,15959,6095,0.50216,0.51496,0.7778,0.6667,0.42255,0.59458
19,6648,4365,0.49383,0.49053,0.8,0.7,0.46334,0.57238
21,9426,5732,0.50395,0.49825,0.8182,0.7273,0.40782,0.61435
23,20017,20113,0.49397,0.506,0.8333,0.75,0.39395,0.60166
25,3680,6012,0.47869,0.52054,0.8462,0.6923,0.38678,0.59644
27,4106,6875,0.49415,0.51941,0.8571,0.7143,0.28953,0.72125
29,11477,20017,0.48107,0.52074,0.8667,0.7333,0.31401,0.68314
31,20097,20167,0.479,0.52115,0.875,0.75,0.32263,0.67789
33,11909,3968,0.47309,0.53501,0.8824,0.7647,0.3242,0.68052
35,5742,3123,0.47855,0.54406,0.8333,0.7778,0.32657,0.66149
37,10647,9803,0.46197,0.53932,0.8421,0.7368,0.36057,0.62955
39,5780,8662,0.48698,0.53644,0.8,0.75,0.44188,0.7042
41,4894,8726,0.49333,0.50949,0.8095,0.7619,0.23537,0.76209
43,4661,13866,0.50297,0.52195,0.7727,0.7273,0.25771,0.75869
45,4176,5362,0.43004,0.57169,0.7826,0.7391,0.19794,0.78548
47,7512,11146,0.41355,0.58679,0.75,0.7083,0.16587,0.83576
49,2939,9101,0.40677,0.58021,0.76,0.72,0.16598,0.82582
51,10993,7732,0.40741,0.61151,0.7692,0.7308,0.18546,0.83517
53,10014,20017,0.39274,0.60428,0.7778,0.7407,0.16306,0.83598
55,10169,20017,0.40968,0.58188,0.7857,0.75,0.16384,0.83867
57,8774,4925,0.44786,0.55111,0.7931,0.7586,0.16057,0.84847
59,8966,7343,0.45434,0.55172,0.8,0.7667,0.11605,0.86017
61,9720,20017,0.46061,0.53878,0.8065,0.7419,0.10988,0.87062
63,20017,20106,0.41421,0.58607,0.8125,0.75,0.1349,0.87156
65,4725,20017,0.39419,0.60345,0.8182,0.7576,0.05828,0.91944
67,7924,3953,0.40232,0.50492,0.7941,0.7647,0.09646,0.89756
69,17154,17105,0.49648,0.51376,0.8,0.7429,0.09281,0.92978
71,6280,20017,0.41341,0.58554,0.8056,0.75,0.06892,0.92714
73,16473,9845,0.41977,0.60703,0.7838,0.7297,0.09298,0.87839
75,15578,4230,0.36938,0.61904,0.7895,0.7368,0.1218,0.87377
77,11355,13153,0.39112,0.68294,0.7692,0.7436,0.11297,0.95655
79,4313,6804,0.34609,0.68521,0.75,0.725,0.01281,0.97715
81,3690,6456,0.31942,0.68193,0.7561,0.7317,0.09836,0.98798
83,20017,20100,0.30371,0.69645,0.7619,0.7381,0.01836,0.95691
85,13774,7482,0.30051,0.70393,0.7674,0.7442,0.01172,0.98975
87,2604,3706,0.2946,0.69481,0.7727,0.75,0.07188,0.98508
89,14658,20017,0.31883,0.67994,0.7778,0.7556,0.02046,0.9806
91,8383,13816,0.34933,0.68275,0.7609,0.7609,0.01539,0.98265
93,4799,14423,0.31711,0.68603,0.766,0.7447,0.0198,0.98561
95,5050,7981,0.30181,0.67782,0.75,0.7292,0.03718,0.97939
97,6462,5141,0.3101,0.67587,0.7551,0.7143,0.02201,0.9815
