MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,90429,26063,0.47288,0.53072,1,1,0.51787,0.47296
3,10312,12053,0.47266,0.52976,1,1,0.48475,0.49377
5,5853,8086,0.46583,0.51164,1,1,0.50842,0.5097
7,9195,20017,0.50084,0.49979,1,1,0.4833,0.5318
9,20089,14503,0.50025,0.49901,1,0.8,0.46321,0.55428
11,20017,8469,0.51454,0.4989,1,0.8333,0.44227,0.56024
13,20017,6436,0.49928,0.50533,1,0.8571,0.43817,0.56308
15,20017,5739,0.48855,0.51582,1,0.875,0.44172,0.56812
17,10075,7943,0.48932,0.50575,1,0.8889,0.44975,0.57063
19,20017,20089,0.50587,0.49431,1,0.9,0.37842,0.71714
21,20163,20240,0.50613,0.49349,1,0.9091,0.24248,0.77273
23,20316,10287,0.50653,0.48992,1,0.8333,0.22474,0.83696
25,20017,20092,0.51632,0.48376,1,0.8462,0.18462,0.81829
27,14707,14003,0.52764,0.47635,1,0.8571,0.18833,0.81255
29,3388,10060,0.49042,0.50537,1,0.8667,0.20825,0.79113
31,20017,20096,0.49671,0.50332,1,0.8125,0.21179,0.76659
33,6267,8033,0.50849,0.48928,1,0.7647,0.26489,0.8772
35,5883,20017,0.49939,0.50513,1,0.7778,0.18783,0.87237
37,8005,10340,0.47274,0.53955,0.9474,0.7895,0.16557,0.8979
39,5852,3106,0.43811,0.53209,0.9,0.8,0.02216,0.96917
41,7965,7585,0.47858,0.54537,0.8571,0.7619,0.07524,0.95645
43,9343,4247,0.43177,0.55263,0.8636,0.7727,0.05135,0.96083
45,3833,5580,0.44599,0.52882,0.8261,0.7826,0.01168,0.9828
47,3040,10203,0.46008,0.54779,0.8333,0.7917,0.08832,0.98637
49,1982,14632,0.4448,0.54477,0.84,0.76,0.14359,0.98975
51,9432,10869,0.4627,0.55756,0.8462,0.7692,0.0103,0.97856
53,2398,9017,0.44489,0.57715,0.8519,0.7778,0.10798,0.98283
55,20017,2672,0.42834,0.57753,0.8571,0.7857,0.01403,0.98631
57,7525,7625,0.45155,0.55754,0.8276,0.7931,0.09126,0.97781
59,14650,11681,0.4445,0.5596,0.8333,0.8,0.02838,0.9687
61,13363,3985,0.45195,0.54485,0.8387,0.8065,0.03472,0.96755
63,12557,7451,0.44828,0.54857,0.8438,0.8125,0.0457,0.95323
65,6540,5095,0.43917,0.5625,0.8485,0.8182,0.03123,0.97178
67,6601,4922,0.44617,0.52522,0.8529,0.8235,0.12001,0.97009
69,2116,8234,0.48416,0.51862,0.8571,0.8286,0.09097,0.98151
71,11007,8966,0.4793,0.51889,0.8333,0.8333,0.09502,0.97761
73,20017,9682,0.4869,0.51346,0.8378,0.8378,0.02597,0.97177
75,5972,5301,0.49692,0.52262,0.8421,0.8421,0.02364,0.97488
77,14014,20017,0.4748,0.57753,0.8205,0.8462,0.0497,0.97281
79,5222,2583,0.41306,0.63953,0.8,0.85,0.02534,0.98818
81,12426,17019,0.35966,0.66934,0.7805,0.8537,0.09685,0.98485
83,13831,15543,0.34571,0.66162,0.7857,0.8571,0.0192,0.9825
85,17860,3117,0.34428,0.67603,0.7907,0.8605,0.01921,0.98359
87,10201,2769,0.30813,0.69888,0.7727,0.8636,0.06562,0.98322
89,1731,12069,0.27048,0.71138,0.7778,0.8667,0.01277,0.97787
91,6871,5321,0.32878,0.7192,0.7609,0.8696,0.02859,0.99288
93,6788,10073,0.31486,0.73421,0.7447,0.8723,0.01085,0.99298
95,4587,3724,0.26352,0.73745,0.75,0.8542,0.01088,0.99091
97,1585,20017,0.28679,0.71996,0.7551,0.8571,0.01057,0.98877
99,15718,10411,0.29382,0.73155,0.76,0.86,0.01152,0.99269
101,20017,20090,0.27228,0.72796,0.7647,0.8627,0.00894,0.99185
103,5506,10156,0.28245,0.72137,0.75,0.8654,0.00897,0.98917
105,9050,3782,0.29483,0.73354,0.7547,0.8679,0.01455,0.97812
107,5112,20017,0.24378,0.75351,0.7593,0.8704,0.01701,0.98079
109,10434,5416,0.22912,0.79322,0.7636,0.8545,0.02001,0.98331
111,5932,7195,0.23481,0.71294,0.75,0.8571,0.01824,0.9876
