MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,3067,3974,0.47719,0.5102,1,1,0.51841,0.47173
3,7971,10868,0.47895,0.52091,1,1,0.485,0.49189
5,8978,6307,0.47888,0.54846,0.6667,0.6667,0.53425,0.50766
7,2525,20017,0.4679,0.52898,0.75,0.75,0.52928,0.42444
9,5042,20017,0.47686,0.53139,0.8,0.8,0.60527,0.43977
11,20086,20158,0.46876,0.53169,0.8333,0.6667,0.56281,0.44122
13,5662,6207,0.47508,0.54815,0.7143,0.7143,0.60818,0.44102
15,4463,2981,0.44507,0.58018,0.75,0.75,0.55382,0.3619
17,20017,20084,0.43359,0.5661,0.7778,0.7778,0.63162,0.36902
19,10768,20017,0.4185,0.58193,0.8,0.7,0.62848,0.32244
21,3535,8668,0.43243,0.56836,0.7273,0.6364,0.65835,0.37126
23,3665,20017,0.43019,0.56893,0.75,0.6667,0.57154,0.35439
25,13051,20017,0.42978,0.56609,0.7692,0.6923,0.59366,0.42499
27,13468,20017,0.4313,0.56435,0.7857,0.7143,0.5749,0.43162
29,20096,1293,0.43576,0.55341,0.8,0.7333,0.55793,0.45452
31,7815,11140,0.46404,0.53782,0.8125,0.75,0.55855,0.44333
33,20017,14646,0.46241,0.54153,0.8235,0.7647,0.54941,0.46683
35,14140,20017,0.46503,0.52884,0.7778,0.7778,0.5729,0.55987
37,7875,20017,0.46898,0.53727,0.7895,0.7895,0.39535,0.72811
39,11624,12309,0.4592,0.5417,0.8,0.8,0.29855,0.69967
41,20017,20096,0.45822,0.5418,0.8095,0.8095,0.13762,0.88034
43,20168,5405,0.45839,0.56077,0.8182,0.7727,0.12499,0.87867
45,18104,20017,0.47876,0.52243,0.8261,0.7826,0.09696,0.89447
47,10247,7476,0.46582,0.53857,0.8333,0.7917,0.1144,0.89267
49,8579,13542,0.4686,0.52769,0.84,0.8,0.11146,0.89207
51,6017,20017,0.461,0.53588,0.8462,0.8077,0.08963,0.88605
53,11333,8637,0.47304,0.51296,0.8519,0.8148,0.09133,0.90497
55,16911,20017,0.49806,0.50214,0.8571,0.7857,0.11491,0.8911
57,7678,13237,0.46515,0.53689,0.8621,0.7586,0.0974,0.90949
59,2924,12843,0.48378,0.56758,0.8333,0.7667,0.13739,0.84266
61,20017,10189,0.43754,0.5617,0.8387,0.7419,0.16566,0.81921
63,4033,7301,0.50824,0.49667,0.8438,0.75,0.19208,0.83828
65,13140,5965,0.49769,0.50423,0.8485,0.7576,0.16786,0.84955
67,9490,13173,0.50195,0.50752,0.8529,0.7647,0.14811,0.8634
69,20017,20086,0.48914,0.5107,0.8571,0.7714,0.1342,0.87012
71,20164,8935,0.48977,0.52441,0.8611,0.75,0.1289,0.87924
73,2623,6506,0.45913,0.53314,0.8649,0.7568,0.12492,0.87869
75,6784,8755,0.47925,0.52973,0.8684,0.7632,0.13811,0.8626
77,5117,20017,0.44733,0.55756,0.8718,0.7692,0.09048,0.88446
79,11335,4098,0.44469,0.54954,0.875,0.75,0.13055,0.87605
81,20017,20097,0.42727,0.573,0.878,0.7317,0.21179,0.84121
83,5020,20017,0.48726,0.51348,0.881,0.7381,0.18412,0.84805
85,20091,10093,0.48642,0.51401,0.8837,0.7442,0.1178,0.86846
87,20017,6764,0.48163,0.53795,0.8864,0.7273,0.13416,0.8479
89,7104,9912,0.54571,0.45142,0.8889,0.7111,0.17692,0.84812
91,8561,2795,0.55355,0.46027,0.8696,0.7174,0.16768,0.82426
93,12939,1871,0.52846,0.4422,0.8723,0.7234,0.18847,0.82702
95,5223,1399,0.53806,0.4125,0.875,0.7292,0.15958,0.86698
97,20017,20185,0.58196,0.41801,0.8776,0.7347,0.13749,0.86068
99,5197,8065,0.57588,0.42314,0.88,0.74,0.14529,0.85484
101,2844,11821,0.52227,0.45082,0.8824,0.7451,0.14915,0.85094
103,5145,2548,0.53887,0.4509,0.8654,0.75,0.11323,0.87943
105,4295,4245,0.53931,0.48463,0.8679,0.7547,0.14227,0.8708
107,3933,4781,0.54757,0.49217,0.8519,0.7593,0.13008,0.93801
109,6346,7121,0.52719,0.47286,0.8545,0.7636,0.05869,0.93428
111,2347,4340,0.49802,0.49593,0.8571,0.7679,0.08177,0.91004
113,20017,7206,0.49936,0.53011,0.8596,0.7719,0.10154,0.89676
115,6842,6160,0.48516,0.55048,0.8621,0.7586,0.0617,0.94565
117,2819,8798,0.52386,0.53646,0.8475,0.7627,0.16311,0.91313
119,7522,13316,0.46355,0.57115,0.85,0.7667,0.15416,0.91804
121,20017,9156,0.42958,0.54181,0.8361,0.7705,0.01549,0.94448
123,12459,6748,0.48374,0.52391,0.8387,0.7581,0.05811,0.94969
125,2348,12672,0.44914,0.5542,0.8413,0.746,0.06465,0.93096
127,2673,20017,0.41964,0.57593,0.8438,0.75,0.02692,0.96452
129,11339,5412,0.43547,0.58937,0.8308,0.7538,0.03985,0.97943
131,3875,3947,0.36892,0.64646,0.8333,0.7424,0.02284,0.98539
133,4279,7825,0.44645,0.56092,0.8358,0.7313,0.02331,0.98505
135,7850,4264,0.46148,0.62558,0.8235,0.7353,0.01889,0.98734
137,4490,5765,0.37326,0.65732,0.8261,0.7391,0.01095,0.98259
139,17847,5972,0.35384,0.67921,0.8286,0.7429,0.02116,0.98027
141,17350,20017,0.34298,0.65526,0.831,0.7465,0.01955,0.98234
143,3017,11148,0.315,0.69042,0.8333,0.75,0.01864,0.98101
145,20017,20017,0.3123,0.68022,0.8219,0.7534,0.01776,0.98852
147,20087,20191,0.32006,0.67999,0.8243,0.7568,0.01571,0.98373
149,11001,20017,0.34296,0.66506,0.8267,0.76,0.01857,0.98152
151,20088,6589,0.33506,0.69411,0.8289,0.75,0.01985,0.98933
153,3658,13660,0.30619,0.71849,0.8312,0.7532,0.0148,0.97594
155,7093,20017,0.27062,0.72512,0.8333,0.7564,0.01374,0.99019
157,13648,17483,0.29707,0.71047,0.8354,0.7595,0.01339,0.99125
159,20017,20115,0.28811,0.71212,0.8375,0.7625,0.01011,0.98951
161,20217,20320,0.28797,0.71189,0.8395,0.7654,0.01074,0.98921
163,8706,3725,0.28396,0.65411,0.8293,0.7683,0.01217,0.98722
165,13088,13898,0.33104,0.67494,0.8313,0.7711,0.01171,0.98816
167,9937,4558,0.31636,0.74276,0.8333,0.7619,0.01765,0.98479
169,3410,9738,0.20218,0.80825,0.8235,0.7647,0.04287,0.98776
171,5533,15440,0.23237,0.82161,0.814,0.7674,0.01333,0.99267
173,2178,4223,0.15669,0.8548,0.8161,0.7586,0.00986,0.99412
175,4042,15781,0.09311,0.92933,0.8182,0.7614,0.01141,0.99355
177,6967,4169,0.07451,0.90237,0.809,0.764,0.00847,0.99384
179,13521,20017,0.10008,0.89438,0.8,0.7667,0.00664,0.99224
181,10607,2814,0.1088,0.86724,0.8022,0.7692,0.01031,0.99092
183,3924,20017,0.11598,0.87778,0.8043,0.7609,0.01657,0.98891
185,20017,6621,0.11181,0.92352,0.7957,0.7634,0.01183,0.99284
187,14825,3176,0.09387,0.87048,0.7979,0.766,0.0079,0.99316
189,6782,3879,0.13025,0.90135,0.8,0.7579,0.00865,0.99458
191,3683,20017,0.16082,0.83813,0.8021,0.7604,0.00599,0.99414
193,7718,5881,0.19889,0.82674,0.8041,0.7629,0.00733,0.99554
195,1679,18248,0.14317,0.87327,0.8061,0.7653,0.01911,0.9941
197,15307,20017,0.12675,0.85288,0.798,0.7677,0.00694,0.99406
199,4062,3691,0.13594,0.88798,0.8,0.77,0.00564,0.99509
201,17388,3538,0.09741,0.89918,0.802,0.7723,0.00821,0.99333
