MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,33688,2427,0.51717,0.48046,0,1,0.51845,0.66411
3,1415,2626,0.51712,0.45718,0.5,1,0.34968,0.59711
5,2293,5462,0.52713,0.47044,0.6667,1,0.34882,0.62606
7,2312,3028,0.53358,0.45659,0.75,1,0.381,0.65314
9,11381,14611,0.52498,0.49862,0.6,1,0.26156,0.78772
11,20017,20017,0.50018,0.50331,0.5,0.8333,0.25396,0.72889
13,12332,5714,0.53351,0.46918,0.5714,0.8571,0.28336,0.7087
15,5730,16982,0.53183,0.4569,0.5,0.875,0.13744,0.7853
17,20017,20017,0.54453,0.47341,0.4444,0.8889,0.22299,0.77691
19,13653,8675,0.53169,0.46323,0.5,0.9,0.22558,0.77157
21,2678,8625,0.51717,0.48911,0.5455,0.9091,0.24181,0.75534
23,5621,5380,0.53519,0.47682,0.5833,0.9167,0.30635,0.77683
25,2359,5336,0.50778,0.51775,0.6154,0.9231,0.16839,0.79263
27,20017,20017,0.48776,0.49707,0.5714,0.9286,0.2193,0.91104
29,12060,20017,0.51811,0.47884,0.6,0.9333,0.10707,0.8891
31,20101,20017,0.52086,0.49999,0.5625,0.9375,0.10279,0.90531
33,20097,20017,0.50046,0.4939,0.5294,0.9412,0.02765,0.88266
35,20089,20017,0.50641,0.52231,0.5,0.9444,0.12497,0.87173
37,12278,8612,0.49647,0.47356,0.4737,0.9474,0.14379,0.8394
39,20017,20017,0.52527,0.52277,0.45,0.95,0.08752,0.88401
41,20117,20017,0.47684,0.50117,0.4286,0.9524,0.04316,0.81809
43,20148,20017,0.49876,0.51807,0.4091,0.9545,0.0926,0.89008
45,20095,20017,0.48216,0.51085,0.3913,0.913,0.12936,0.93258
47,16911,11126,0.46826,0.52376,0.375,0.9167,0.06647,0.87593
49,5233,20017,0.47638,0.52847,0.4,0.88,0.1455,0.86379
51,20017,12059,0.45934,0.51244,0.3846,0.8846,0.14628,0.8855
53,20017,20017,0.48634,0.55488,0.3704,0.8889,0.05152,0.91449
55,20132,20017,0.44478,0.50954,0.3571,0.8929,0.09448,0.90384
57,20106,20017,0.49074,0.53729,0.3448,0.8966,0.10161,0.9011
59,9343,14972,0.46022,0.5107,0.3333,0.9,0.09658,0.93202
61,20017,20017,0.48786,0.51515,0.3226,0.9032,0.06545,0.93996
63,14856,10371,0.51717,0.50141,0.3438,0.9062,0.06912,0.93579
65,6324,9306,0.516,0.49476,0.3636,0.9091,0.07993,0.91666
67,13577,7197,0.50835,0.47392,0.3824,0.9118,0.0886,0.90544
69,5875,4947,0.50215,0.49196,0.4,0.8857,0.08549,0.91501
71,20017,5938,0.49343,0.52877,0.3889,0.8889,0.06378,0.91736
73,20017,8083,0.46456,0.50332,0.4054,0.8919,0.10572,0.9076
75,8323,3979,0.51196,0.46086,0.3947,0.8947,0.05112,0.92068
77,7524,8729,0.52786,0.51608,0.4103,0.8974,0.1102,0.91109
79,9139,5750,0.49918,0.53084,0.425,0.9,0.06555,0.92448
81,6120,20017,0.44328,0.56563,0.439,0.9024,0.05322,0.95535
83,9635,18394,0.4217,0.58581,0.4524,0.9048,0.0445,0.96195
85,6831,10274,0.39721,0.58966,0.4419,0.907,0.03763,0.97075
87,10826,4316,0.40298,0.59316,0.4318,0.9091,0.03086,0.97867
89,15524,20017,0.42214,0.57433,0.4444,0.9111,0.01961,0.9881
91,4515,20017,0.4176,0.57346,0.4565,0.913,0.01264,0.9869
93,14159,4657,0.44076,0.63069,0.4468,0.9149,0.01687,0.9929
95,4849,9140,0.34534,0.64315,0.4583,0.9167,0.00975,0.99032
97,8414,13829,0.37783,0.62727,0.4694,0.9184,0.01105,0.99023
99,9943,11889,0.38122,0.59969,0.48,0.92,0.01245,0.98986
101,10524,20017,0.4248,0.62887,0.4706,0.9216,0.01369,0.98672
103,9953,7795,0.38736,0.63588,0.4808,0.9038,0.01567,0.98682
105,3088,11334,0.37198,0.64267,0.4906,0.9057,0.01501,0.98436
107,8882,10542,0.37616,0.64993,0.5,0.8889,0.01822,0.9811
109,20017,14712,0.37051,0.65066,0.5091,0.8909,0.02145,0.98037
111,15891,1606,0.35338,0.65177,0.5179,0.8929,0.02177,0.98163
113,2635,8195,0.38068,0.65655,0.5263,0.8947,0.02021,0.97879
115,4655,20017,0.30325,0.70992,0.5345,0.8966,0.03767,0.96868
117,20152,13737,0.29007,0.74055,0.5424,0.8983,0.02824,0.97609
