MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,2842,6293,0.47392,0.52086,1,1,0.51813,0.49151
3,3789,11941,0.47465,0.53482,1,0.5,0.5065,0.47843
5,4013,8176,0.46235,0.51754,1,0.6667,0.54116,0.46584
7,4491,5662,0.49408,0.53243,0.75,0.5,0.54386,0.46466
9,2453,4216,0.48289,0.53184,0.8,0.4,0.61291,0.43527
11,7666,20017,0.49745,0.53932,0.6667,0.5,0.57329,0.43794
13,13616,20017,0.46847,0.54828,0.5714,0.5714,0.55675,0.46774
15,20097,5061,0.45179,0.54555,0.625,0.625,0.52479,0.40954
17,11785,13095,0.44671,0.54795,0.6667,0.6667,0.56234,0.44008
19,9314,9006,0.45533,0.5642,0.6,0.6,0.5677,0.37362
21,5748,11942,0.45141,0.56332,0.6364,0.6364,0.61693,0.48415
23,5063,2716,0.448,0.55345,0.6667,0.6667,0.505,0.49973
25,6117,3072,0.43848,0.52594,0.6923,0.6923,0.72302,0.26144
27,11825,7979,0.45451,0.55084,0.6429,0.7143,0.70526,0.32476
29,13149,20018,0.45776,0.54183,0.6667,0.7333,0.65848,0.35658
31,9293,20017,0.44936,0.53013,0.625,0.75,0.68571,0.29961
33,9773,14365,0.47809,0.53732,0.6471,0.7647,0.70566,0.28279
35,10633,15915,0.45507,0.54799,0.6667,0.7778,0.72833,0.27426
37,3486,4769,0.43881,0.51633,0.6842,0.7895,0.64503,0.32941
39,3946,20017,0.45687,0.54997,0.7,0.75,0.62982,0.15355
41,11605,9505,0.45435,0.54632,0.7143,0.7619,0.86155,0.1752
43,16116,20017,0.4504,0.55117,0.7273,0.7727,0.8333,0.16661
45,5825,15478,0.48293,0.51765,0.7391,0.7826,0.84596,0.14959
47,5297,4438,0.47357,0.55478,0.7083,0.75,0.86541,0.13803
49,20017,4953,0.44878,0.57939,0.72,0.76,0.8504,0.02944
51,14202,20017,0.43302,0.56281,0.7308,0.7692,0.97787,0.00798
53,3046,1831,0.45355,0.54292,0.7407,0.7778,0.99481,0.03217
55,20017,5155,0.45641,0.56759,0.75,0.75,0.99204,0.00697
57,5449,5073,0.4795,0.55033,0.7241,0.7241,0.99679,0.03481
59,7570,20017,0.49671,0.5467,0.7,0.7333,0.99515,0.00691
61,20092,11047,0.45341,0.53778,0.7097,0.7419,0.99421,0.0065
63,4477,5332,0.46524,0.57032,0.6875,0.7188,0.99552,0.0228
65,8028,14261,0.4862,0.5706,0.6667,0.697,0.99451,0.00997
67,2509,3614,0.39496,0.63454,0.6765,0.7059,0.99537,0.00486
69,7203,13086,0.37561,0.6247,0.6857,0.6857,0.99448,0.01121
71,3381,11293,0.37123,0.63934,0.6944,0.6944,0.99267,0.01272
73,20017,3829,0.36069,0.63642,0.7027,0.7027,0.98795,0.00624
